NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_016E,S1501_C01_017E,S1501_C01_018E,S1501_C01_019E,S1501_C01_020E,S1501_C01_021E,S1501_C01_022E,state,county,tract
"Census Tract 111.26, Butler County, Ohio",688,164,131,259,134,3537,39,65,501,697,188,1375,672,3433,2047,912,912,543,540,540,319,1254,39,17,011126
"Census Tract 111.27, Butler County, Ohio",357,56,122,151,28,3127,35,85,499,681,236,1013,578,3007,1591,662,643,350,531,506,324,1344,39,17,011127
"Census Tract 111.28, Butler County, Ohio",224,19,65,76,64,2041,16,14,329,169,78,878,557,2011,1435,265,265,205,273,259,184,930,39,17,011128
"Census Tract 111.29, Butler County, Ohio",157,0,31,114,12,3215,0,67,731,473,192,955,797,3148,1752,454,454,250,799,799,419,1381,39,17,011129
"Census Tract 111.30, Butler County, Ohio",329,45,90,131,63,3590,98,321,891,433,222,1003,622,3171,1625,794,650,444,686,648,230,1352,39,17,011130
"Census Tract 111.31, Butler County, Ohio",285,0,94,79,112,2304,41,38,331,292,182,779,641,2225,1420,343,331,247,416,416,301,958,39,17,011131
"Census Tract 111.32, Butler County, Ohio",231,38,86,84,23,2367,36,2,379,345,168,1056,381,2329,1437,367,367,274,619,619,407,1068,39,17,011132
"Census Tract 111.33, Butler County, Ohio",152,0,46,59,47,2316,0,28,277,383,158,969,501,2288,1470,342,342,251,657,629,372,1071,39,17,011133
"Census Tract 111.34, Butler County, Ohio",531,29,82,402,18,4671,47,118,1107,1095,511,1083,710,4506,1793,265,265,109,1218,1149,586,2143,39,17,011134
"Census Tract 111.35, Butler County, Ohio",391,11,280,100,0,3615,21,57,948,499,211,1232,647,3537,1879,972,972,412,597,577,423,1615,39,17,011135
"Census Tract 111.36, Butler County, Ohio",818,36,157,510,115,3318,50,25,463,786,291,959,744,3243,1703,455,455,248,538,513,315,1861,39,17,011136
"Census Tract 111.37, Butler County, Ohio",358,0,305,53,0,1996,57,72,356,225,184,778,324,1867,1102,311,311,266,489,436,266,961,39,17,011137
"Census Tract 112, Butler County, Ohio",584,54,251,195,84,5466,68,91,1545,1130,710,1159,763,5307,1922,1198,1198,396,1012,998,462,1836,39,17,011200
"Census Tract 113, Butler County, Ohio",336,29,215,38,54,4149,80,313,1350,1043,455,641,267,3756,908,706,675,254,957,924,308,1404,39,17,011300
"Census Tract 118, Butler County, Ohio",571,125,352,73,21,3978,22,188,1730,1026,304,534,174,3768,708,556,551,108,826,826,212,1719,39,17,011800
"Census Tract 121, Butler County, Ohio",124,0,65,59,0,2012,9,93,969,392,258,178,113,1910,291,468,448,50,213,206,25,843,39,17,012100
"Census Tract 122, Butler County, Ohio",587,43,176,321,47,2005,102,272,1028,321,149,63,70,1631,133,305,305,14,476,419,39,903,39,17,012200
"Census Tract 123, Butler County, Ohio",131,16,73,30,12,1582,36,298,673,342,112,91,30,1248,121,243,202,25,235,199,21,494,39,17,012300
"Census Tract 124, Butler County, Ohio",123,17,39,37,30,1967,39,154,480,522,160,467,145,1774,612,156,156,66,327,302,69,737,39,17,012400
"Census Tract 125, Butler County, Ohio",245,29,49,167,0,3548,1,108,1108,705,460,762,404,3439,1166,316,263,138,663,662,278,1291,39,17,012500
"Census Tract 126, Butler County, Ohio",387,9,59,295,24,1710,9,50,513,539,86,285,228,1651,513,504,494,149,176,176,47,493,39,17,012600
"Census Tract 127, Butler County, Ohio",370,28,194,123,25,2113,10,191,1064,313,211,259,65,1912,324,412,387,58,538,476,120,790,39,17,012700
"Census Tract 130, Butler County, Ohio",32,0,0,30,2,1072,36,89,539,228,75,70,35,947,105,402,402,17,142,109,13,358,39,17,013000
"Census Tract 131, Butler County, Ohio",264,34,89,84,57,1220,37,210,430,314,49,84,96,973,180,287,240,36,290,210,70,447,39,17,013100
"Census Tract 132, Butler County, Ohio",485,26,232,146,81,2076,77,192,952,388,278,152,37,1807,189,350,311,113,385,341,0,1093,39,17,013200
"Census Tract 133, Butler County, Ohio",167,25,83,59,0,1708,56,74,681,325,222,240,110,1578,350,257,235,29,149,133,61,739,39,17,013300
"Census Tract 134, Butler County, Ohio",173,9,116,48,0,1605,20,205,674,417,69,198,22,1380,220,355,314,92,149,123,17,709,39,17,013400
"Census Tract 135, Butler County, Ohio",215,98,105,12,0,2025,88,247,1061,344,116,119,50,1690,169,507,507,62,206,166,4,1033,39,17,013500
"Census Tract 136, Butler County, Ohio",687,166,273,248,0,2874,30,577,1505,456,207,79,20,2267,99,931,688,0,105,105,11,1282,39,17,013600
