NAME,B01003_001E,B11005_001E,B11005_002E,B11005_012E,B11005_017E,B06010_002E,B06010_003E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,state,county,tract
"Census Tract 5202.01, Summit County, Ohio",2838.0,1276.0,374.0,415.0,487.0,262.0,2090.0,215.0,179.0,182.0,438.0,448.0,240.0,102.0,286.0,39,153,520201
"Census Tract 5202.02, Summit County, Ohio",4279.0,2173.0,468.0,670.0,1035.0,309.0,3231.0,268.0,348.0,706.0,525.0,514.0,476.0,167.0,227.0,39,153,520202
"Census Tract 5203.01, Summit County, Ohio",3216.0,1639.0,358.0,396.0,885.0,229.0,2599.0,356.0,231.0,349.0,286.0,522.0,396.0,91.0,368.0,39,153,520301
"Census Tract 5203.02, Summit County, Ohio",3653.0,1539.0,386.0,727.0,426.0,199.0,3002.0,294.0,94.0,330.0,380.0,888.0,589.0,151.0,276.0,39,153,520302
"Census Tract 5204, Summit County, Ohio",4141.0,1821.0,522.0,579.0,720.0,388.0,3108.0,349.0,230.0,396.0,432.0,641.0,499.0,292.0,269.0,39,153,520400
"Census Tract 5205, Summit County, Ohio",4154.0,1858.0,507.0,548.0,803.0,297.0,3077.0,337.0,249.0,486.0,372.0,580.0,516.0,222.0,315.0,39,153,520500
"Census Tract 5206, Summit County, Ohio",3630.0,1554.0,329.0,495.0,730.0,271.0,2752.0,332.0,307.0,326.0,368.0,406.0,407.0,245.0,361.0,39,153,520600
"Census Tract 5301.01, Summit County, Ohio",6015.0,2421.0,854.0,831.0,736.0,483.0,4458.0,521.0,278.0,408.0,392.0,539.0,605.0,292.0,1423.0,39,153,530101
"Census Tract 5301.03, Summit County, Ohio",4607.0,1762.0,549.0,791.0,422.0,173.0,3598.0,555.0,261.0,361.0,374.0,526.0,568.0,198.0,755.0,39,153,530103
"Census Tract 5301.04, Summit County, Ohio",7923.0,3248.0,1248.0,843.0,1157.0,325.0,5735.0,800.0,272.0,493.0,819.0,676.0,803.0,438.0,1434.0,39,153,530104
"Census Tract 5301.05, Summit County, Ohio",2554.0,1043.0,327.0,323.0,393.0,208.0,1841.0,357.0,126.0,281.0,170.0,301.0,159.0,14.0,433.0,39,153,530105
"Census Tract 5301.08, Summit County, Ohio",4210.0,1863.0,527.0,629.0,707.0,335.0,3070.0,245.0,130.0,294.0,317.0,436.0,464.0,174.0,1010.0,39,153,530108
"Census Tract 5304.01, Summit County, Ohio",3562.0,1371.0,310.0,552.0,509.0,218.0,2869.0,396.0,243.0,471.0,437.0,409.0,304.0,133.0,476.0,39,153,530401
"Census Tract 5304.02, Summit County, Ohio",3471.0,1355.0,408.0,555.0,392.0,133.0,2681.0,251.0,241.0,464.0,567.0,464.0,325.0,71.0,298.0,39,153,530402
"Census Tract 5305.01, Summit County, Ohio",6184.0,2472.0,695.0,898.0,879.0,588.0,4525.0,823.0,321.0,589.0,537.0,788.0,553.0,190.0,724.0,39,153,530501
"Census Tract 5305.02, Summit County, Ohio",3062.0,1259.0,318.0,557.0,384.0,410.0,2226.0,213.0,119.0,350.0,276.0,321.0,192.0,180.0,575.0,39,153,530502
