name,formatted_address,rating,user_ratings_total,latitude,longitude
Whole Foods Market,"1451 1st St, Sarasota, FL 34236, United States",4.3,1973,27.3377195,-82.5409834
Whole Foods Market,"1400 Glades Rd Ste 110, Boca Raton, FL 33431, United States",4.4,1692,26.3659839,-80.1145401
Whole Foods Market,"2411 N Federal Hwy, Pompano Beach, FL 33062, United States",4.5,1763,26.2613337,-80.10114209999999
Whole Foods Market,"680 Linton Blvd, Delray Beach, FL 33444, United States",4.4,951,26.439093,-80.07961279999999
Whole Foods Market,"292 Ashland Pl, Brooklyn, NY 11217, United States",4.1,2231,40.6862137,-73.9787227
Whole Foods Market,"3804 Oleander Dr, Wilmington, NC 28403, United States",4.4,1103,34.2136375,-77.9007647
Whole Foods Market,"465 S Arroyo Pkwy, Pasadena, CA 91105, United States",4.3,1729,34.13782339999999,-118.1478342
Whole Foods Market,"100 S Green Valley Pkwy, Henderson, NV 89012, United States",4.4,1525,36.0234338,-115.0824622
Whole Foods Market,"3881 N Lakewood Blvd Ste A, Long Beach, CA 90808, United States",4.4,1001,33.8298059,-118.1440598
Whole Foods Market,"760 S Sepulveda Blvd, El Segundo, CA 90245, United States",4.5,1660,33.9065553,-118.3928057
Whole Foods Market,"2100 Carlisle Blvd NE, Albuquerque, NM 87110, United States",4.2,2806,35.1026195,-106.6025503
Whole Foods Market,"650 Ponce De Leon Ave NE, Atlanta, GA 30308, United States",4.3,2352,33.7752338,-84.3658288
Whole Foods Market,"1125 Savannah Hwy, Charleston, SC 29407, United States",4.3,994,32.7826597,-79.9960837
Whole Foods Market,"923 Houston Northcutt Blvd, Mt Pleasant, SC 29464, United States",4.3,1317,32.8023194,-79.8889193
Whole Foods Market,"10 Columbus Cir Ste Sc101, New York, NY 10019, United States",4.3,3952,40.7685526,-73.9831866
Whole Foods Market,"1095 6th Ave, New York, NY 10036, United States",4.3,6999,40.7545529,-73.984657
Whole Foods Market,"2101 Pennsylvania Ave, Philadelphia, PA 19130, United States",4.4,3877,39.9629749,-75.1742142
Whole Foods Market,"405 N Pacific Coast Hwy, Redondo Beach, CA 90277, United States",4.2,682,33.84738919999999,-118.3893799
Whole Foods Market,"5815 Wyoming Blvd NE, Albuquerque, NM 87109, United States",4.3,1726,35.1463717,-106.5559212
Whole Foods Market,"1601 S Brentwood Blvd, St. Louis, MO 63144, United States",4.3,1731,38.6271091,-90.3478836
Whole Foods Market,"301 E 51st St, Kansas City, MO 64112, United States",4.4,1531,39.0342908,-94.5834358
Whole Foods Market,"1440 P St NW, Washington, DC 20005, United States",4.3,2409,38.9092854,-77.0335078
Whole Foods Market,"633 Mayor Kenneth A. Gibson Blvd, Newark, NJ 07102, United States",4.3,2291,40.7400078,-74.1699916
Whole Foods Market,"12746 W Jefferson Blvd, Playa Vista, CA 90094, United States",4.3,1301,33.9763017,-118.4178898
Whole Foods Market,"2121 Cloverfield Blvd, Santa Monica, CA 90404, United States",4.3,804,34.0220438,-118.4656809
Whole Foods Market,"8855 W Charleston Blvd, Las Vegas, NV 89117, United States",4.3,1832,36.1576974,-115.2882911
Whole Foods Market,"753 Cerrillos Rd, Santa Fe, NM 87505, United States",4.1,1532,35.679077,-105.9500674
Whole Foods Market,"320 Cambridge Ln, Flagstaff, AZ 86001, United States",4.2,858,35.1915936,-111.6411993
Whole Foods Market,"3420 Veterans Memorial Blvd, Metairie, LA 70002, United States",4.4,2410,30.0019585,-90.1590081
Whole Foods Market,"225 Lincoln Blvd, Venice, CA 90291, United States",4.4,2335,34.0011613,-118.4698813
Whole Foods Market,"4500 I-55 N, 4500 Interstate 55 North Frontage Rd, Jackson, MS 39211, United States",4.5,1078,32.3547791,-90.1498178
Whole Foods Market,"5014 Poplar Ave, Memphis, TN 38117, United States",4.5,2232,35.1134623,-89.8940662
Whole Foods Market,"7825 US-72, Germantown, TN 38138, United States",4.4,1158,35.0888037,-89.80212569999999
Whole Foods Market,"2800 Old Milton Pkwy, Alpharetta, GA 30009, United States",4.3,1769,34.06946690000001,-84.27840909999999
Whole Foods Market,"1140 Woodruff Rd, Greenville, SC 29607, United States",4.4,1521,34.8255774,-82.3010094
Whole Foods Market,"9129 Sam Furr Rd, Huntersville, NC 28078, United States",4.4,1343,35.4440171,-80.87176529999999
Whole Foods Market,"3202 W Friendly Ave, Greensboro, NC 27408, United States",4.4,1342,36.0857454,-79.8341387
Whole Foods Market,"10275 Little Patuxent Pkwy, Columbia, MD 21044, United States",4.4,2207,39.2139367,-76.8557901
Whole Foods Market,"4501 Market Commons Dr, Fairfax, VA 22033, United States",4.5,1963,38.8578497,-77.377751
Whole Foods Market,"711 S Central Ave, Baltimore, MD 21202, United States",4.4,2224,39.2826007,-76.5985606
Whole Foods Market,"1558 Kings Hwy N, Cherry Hill, NJ 08034, United States",4.3,1402,39.9158817,-75.0114246
Whole Foods Market,"5055 Arco St, Cary, NC 27519, United States",4.4,1046,35.8336487,-78.8826704
Whole Foods Market,"12090 Jefferson Ave Ste 100, Newport News, VA 23606, United States",4.4,1870,37.1035368,-76.4896961
Whole Foods Market,"867 E Gate Blvd, Garden City, NY 11530, United States",4.5,1404,40.7423829,-73.6085923
Whole Foods Market,"833 Wayne Ave, Silver Spring, MD 20910, United States",4.2,1610,38.9961273,-77.02415119999999
Whole Foods Market,"4420 Lougheed Hwy., Burnaby, BC V5C 3Z3, Canada",4.2,2214,49.2658662,-123.0050429
Whole Foods Market,"1420 W State Rte 89A, Sedona, AZ 86336, United States",4.2,1797,34.8635944,-111.7849323
Whole Foods Market,"1411 E Renner Rd, Richardson, TX 75082, United States",4.4,2004,32.9987065,-96.6987674
Whole Foods Market,"1380 E 70th St, Shreveport, LA 71105, United States",4.4,1255,32.4442296,-93.7269284
Whole Foods Market,"2501 Memorial Pkwy SW, Huntsville, AL 35801, United States",4.4,1710,34.71227,-86.5898733
Whole Foods Market,"1817 Thomasville Rd, Tallahassee, FL 32303, United States",4.4,1270,30.4630613,-84.2698164
Whole Foods Market,"2050 3rd St S, Jacksonville Beach, FL 32250, United States",4.5,651,30.2703047,-81.3901247
Whole Foods Market,"102B New Waverly Pl, Cary, NC 27518, United States",4.4,1258,35.7375865,-78.77732859999999
Whole Foods Market,"12905 Riverside Dr, Sherman Oaks, CA 91423, United States",4.1,960,34.1579165,-118.4142109
Whole Foods Market,"7635 N Academy Blvd, Colorado Springs, CO 80920, United States",4.3,1554,38.942002,-104.7974944
Whole Foods Market,"1701 Wewatta St, Denver, CO 80202, United States",4.3,2240,39.7545003,-105.0013425
Whole Foods Market,"2118 Abrams Rd, Dallas, TX 75214, United States",4.4,1519,32.8156209,-96.7520468
Whole Foods Market,"22 14th St NW, Atlanta, GA 30309, United States",4.5,1372,33.7862472,-84.38875569999999
Whole Foods Market,"77 W Paces Ferry Rd NW, Atlanta, GA 30305, United States",4.3,912,33.8407325,-84.3814773
Whole Foods Market,"5930 Roswell Rd, Atlanta, GA 30328, United States",4.4,1355,33.9177804,-84.3798807
Whole Foods Market,"702 Cross Hill Rd Suite 300, Columbia, SC 29205, United States",4.5,1289,33.9929776,-80.97547
Whole Foods Market,"50 Shelter Cove Ln, Hilton Head Island, SC 29928, United States",4.2,623,32.1873148,-80.7166416
