B01003_001E,NAME,state,county,tract
2893,"Census Tract 25.10, Franklin County, Ohio",39,049,002510
3019,"Census Tract 25.20, Franklin County, Ohio",39,049,002520
3798,"Census Tract 26, Franklin County, Ohio",39,049,002600
2408,"Census Tract 27.10, Franklin County, Ohio",39,049,002710
2288,"Census Tract 27.30, Franklin County, Ohio",39,049,002730
2672,"Census Tract 27.40, Franklin County, Ohio",39,049,002740
2490,"Census Tract 27.50, Franklin County, Ohio",39,049,002750
3801,"Census Tract 27.60, Franklin County, Ohio",39,049,002760
2077,"Census Tract 27.70, Franklin County, Ohio",39,049,002770
2204,"Census Tract 27.80, Franklin County, Ohio",39,049,002780
2162,"Census Tract 28, Franklin County, Ohio",39,049,002800
3022,"Census Tract 29, Franklin County, Ohio",39,049,002900
2971,"Census Tract 30, Franklin County, Ohio",39,049,003000
2887,"Census Tract 32, Franklin County, Ohio",39,049,003200
1884,"Census Tract 36, Franklin County, Ohio",39,049,003600
3238,"Census Tract 37, Franklin County, Ohio",39,049,003700
2352,"Census Tract 38, Franklin County, Ohio",39,049,003800
1569,"Census Tract 40.01, Franklin County, Ohio",39,049,004001
1787,"Census Tract 40.02, Franklin County, Ohio",39,049,004002
434,"Census Tract 42, Franklin County, Ohio",39,049,004200
3127,"Census Tract 43.01, Franklin County, Ohio",39,049,004301
2251,"Census Tract 43.02, Franklin County, Ohio",39,049,004302
3818,"Census Tract 12, Franklin County, Ohio",39,049,001200
5746,"Census Tract 45, Franklin County, Ohio",39,049,004500
3743,"Census Tract 46.10, Franklin County, Ohio",39,049,004610
2871,"Census Tract 46.20, Franklin County, Ohio",39,049,004620
5636,"Census Tract 47, Franklin County, Ohio",39,049,004700
2870,"Census Tract 48.10, Franklin County, Ohio",39,049,004810
2638,"Census Tract 48.20, Franklin County, Ohio",39,049,004820
5285,"Census Tract 49, Franklin County, Ohio",39,049,004900
1916,"Census Tract 50.01, Franklin County, Ohio",39,049,005001
3800,"Census Tract 50.02, Franklin County, Ohio",39,049,005002
2363,"Census Tract 51, Franklin County, Ohio",39,049,005100
3576,"Census Tract 2004, Lake County, Ohio",39,085,200400
3039,"Census Tract 2005, Lake County, Ohio",39,085,200500
3519,"Census Tract 2006, Lake County, Ohio",39,085,200600
3621,"Census Tract 2007, Lake County, Ohio",39,085,200700
3646,"Census Tract 2008, Lake County, Ohio",39,085,200800
1934,"Census Tract 2009, Lake County, Ohio",39,085,200900
4642,"Census Tract 2010, Lake County, Ohio",39,085,201000
1774,"Census Tract 2011.01, Lake County, Ohio",39,085,201101
3129,"Census Tract 2011.02, Lake County, Ohio",39,085,201102
3482,"Census Tract 2012, Lake County, Ohio",39,085,201200
3639,"Census Tract 2013, Lake County, Ohio",39,085,201300
3443,"Census Tract 2014, Lake County, Ohio",39,085,201400
2532,"Census Tract 2015, Lake County, Ohio",39,085,201500
3466,"Census Tract 2016, Lake County, Ohio",39,085,201600
6342,"Census Tract 2017, Lake County, Ohio",39,085,201700
3702,"Census Tract 2018, Lake County, Ohio",39,085,201800
2883,"Census Tract 2019, Lake County, Ohio",39,085,201900
5171,"Census Tract 2020, Lake County, Ohio",39,085,202000
2364,"Census Tract 2021, Lake County, Ohio",39,085,202100
3100,"Census Tract 2024, Lake County, Ohio",39,085,202400
4291,"Census Tract 2025, Lake County, Ohio",39,085,202500
3700,"Census Tract 2026, Lake County, Ohio",39,085,202600
6922,"Census Tract 2027, Lake County, Ohio",39,085,202700
5643,"Census Tract 2028, Lake County, Ohio",39,085,202800
5012,"Census Tract 2029.01, Lake County, Ohio",39,085,202901
1454,"Census Tract 2029.02, Lake County, Ohio",39,085,202902
6306,"Census Tract 2030, Lake County, Ohio",39,085,203000
3387,"Census Tract 2032, Lake County, Ohio",39,085,203200
4122,"Census Tract 2034, Lake County, Ohio",39,085,203400
6702,"Census Tract 2035, Lake County, Ohio",39,085,203500
3406,"Census Tract 2037, Lake County, Ohio",39,085,203700
3067,"Census Tract 2040, Lake County, Ohio",39,085,204000
3942,"Census Tract 2042, Lake County, Ohio",39,085,204200
2418,"Census Tract 2043.03, Lake County, Ohio",39,085,204303
5531,"Census Tract 2043.04, Lake County, Ohio",39,085,204304
3526,"Census Tract 2044, Lake County, Ohio",39,085,204400
4368,"Census Tract 2045, Lake County, Ohio",39,085,204500
4702,"Census Tract 2047, Lake County, Ohio",39,085,204700
5223,"Census Tract 2048, Lake County, Ohio",39,085,204800
5706,"Census Tract 2049, Lake County, Ohio",39,085,204900
5285,"Census Tract 2050.01, Lake County, Ohio",39,085,205001
5894,"Census Tract 2050.02, Lake County, Ohio",39,085,205002
6950,"Census Tract 2051, Lake County, Ohio",39,085,205100
3085,"Census Tract 2052, Lake County, Ohio",39,085,205200
2297,"Census Tract 2053, Lake County, Ohio",39,085,205300
1662,"Census Tract 2054, Lake County, Ohio",39,085,205400
4701,"Census Tract 2057.01, Lake County, Ohio",39,085,205701
3575,"Census Tract 2057.02, Lake County, Ohio",39,085,205702
3684,"Census Tract 9121, Muskingum County, Ohio",39,119,912100
3786,"Census Tract 9122, Muskingum County, Ohio",39,119,912200
4077,"Census Tract 9123, Muskingum County, Ohio",39,119,912300
4550,"Census Tract 9124, Muskingum County, Ohio",39,119,912400
4844,"Census Tract 9125, Muskingum County, Ohio",39,119,912500
4029,"Census Tract 9126, Muskingum County, Ohio",39,119,912600
5171,"Census Tract 9127, Muskingum County, Ohio",39,119,912700
5396,"Census Tract 9128, Muskingum County, Ohio",39,119,912800
3884,"Census Tract 9683, Noble County, Ohio",39,121,968300
4686,"Census Tract 9684.01, Noble County, Ohio",39,121,968401
2460,"Census Tract 9684.02, Noble County, Ohio",39,121,968402
3380,"Census Tract 9685, Noble County, Ohio",39,121,968500
519,"Census Tract 501, Ottawa County, Ohio",39,123,050100
1685,"Census Tract 502.01, Ottawa County, Ohio",39,123,050201
1828,"Census Tract 502.02, Ottawa County, Ohio",39,123,050202
3062,"Census Tract 503.01, Ottawa County, Ohio",39,123,050301
2006,"Census Tract 503.02, Ottawa County, Ohio",39,123,050302
3616,"Census Tract 505, Ottawa County, Ohio",39,123,050500
2905,"Census Tract 506, Ottawa County, Ohio",39,123,050600
3359,"Census Tract 507, Ottawa County, Ohio",39,123,050700
4238,"Census Tract 508, Ottawa County, Ohio",39,123,050800
5539,"Census Tract 509, Ottawa County, Ohio",39,123,050900
4921,"Census Tract 510, Ottawa County, Ohio",39,123,051000
3728,"Census Tract 511, Ottawa County, Ohio",39,123,051100
1043,"Census Tract 512.01, Ottawa County, Ohio",39,123,051201
1683,"Census Tract 512.02, Ottawa County, Ohio",39,123,051202
425,"Census Tract 512.03, Ottawa County, Ohio",39,123,051203
2813,"Census Tract 9601, Paulding County, Ohio",39,125,960100
4076,"Census Tract 9602, Paulding County, Ohio",39,125,960200
4220,"Census Tract 9603, Paulding County, Ohio",39,125,960300
4126,"Census Tract 9604, Paulding County, Ohio",39,125,960400
3507,"Census Tract 9605, Paulding County, Ohio",39,125,960500
3181,"Census Tract 9658.01, Perry County, Ohio",39,127,965801
4288,"Census Tract 9658.02, Perry County, Ohio",39,127,965802
3085,"Census Tract 9659.01, Perry County, Ohio",39,127,965901
3914,"Census Tract 9659.02, Perry County, Ohio",39,127,965902
2819,"Census Tract 9120, Muskingum County, Ohio",39,119,912000
4989,"Census Tract 9660, Perry County, Ohio",39,127,966000
4489,"Census Tract 9661, Perry County, Ohio",39,127,966100
6053,"Census Tract 9662, Perry County, Ohio",39,127,966200
3592,"Census Tract 9663.01, Perry County, Ohio",39,127,966301
2485,"Census Tract 9663.02, Perry County, Ohio",39,127,966302
1797,"Census Tract 201, Pickaway County, Ohio",39,129,020100
2729,"Census Tract 202, Pickaway County, Ohio",39,129,020200
4931,"Census Tract 203.10, Pickaway County, Ohio",39,129,020310
3705,"Census Tract 203.20, Pickaway County, Ohio",39,129,020320
2710,"Census Tract 204, Pickaway County, Ohio",39,129,020400
3541,"Census Tract 29.01, Clark County, Ohio",39,023,002901
4410,"Census Tract 29.02, Clark County, Ohio",39,023,002902
3091,"Census Tract 30.01, Clark County, Ohio",39,023,003001
3605,"Census Tract 30.02, Clark County, Ohio",39,023,003002
2526,"Census Tract 31.01, Clark County, Ohio",39,023,003101
1631,"Census Tract 31.02, Clark County, Ohio",39,023,003102
2488,"Census Tract 32, Clark County, Ohio",39,023,003200
3478,"Census Tract 33.01, Clark County, Ohio",39,023,003301
2660,"Census Tract 33.02, Clark County, Ohio",39,023,003302
3009,"Census Tract 34, Clark County, Ohio",39,023,003400
4592,"Census Tract 37, Clark County, Ohio",39,023,003700
5306,"Census Tract 401.01, Clermont County, Ohio",39,025,040101
2947,"Census Tract 401.02, Clermont County, Ohio",39,025,040102
2281,"Census Tract 402.02, Clermont County, Ohio",39,025,040202
6223,"Census Tract 402.03, Clermont County, Ohio",39,025,040203
3249,"Census Tract 402.05, Clermont County, Ohio",39,025,040205
4514,"Census Tract 402.06, Clermont County, Ohio",39,025,040206
3739,"Census Tract 403.01, Clermont County, Ohio",39,025,040301
3962,"Census Tract 403.02, Clermont County, Ohio",39,025,040302
7299,"Census Tract 403.03, Clermont County, Ohio",39,025,040303
3803,"Census Tract 404.01, Clermont County, Ohio",39,025,040401
2755,"Census Tract 404.03, Clermont County, Ohio",39,025,040403
3863,"Census Tract 404.04, Clermont County, Ohio",39,025,040404
3408,"Census Tract 404.05, Clermont County, Ohio",39,025,040405
5086,"Census Tract 405, Clermont County, Ohio",39,025,040500
7342,"Census Tract 406, Clermont County, Ohio",39,025,040600
4306,"Census Tract 407.02, Clermont County, Ohio",39,025,040702
3107,"Census Tract 407.03, Clermont County, Ohio",39,025,040703
3515,"Census Tract 407.04, Clermont County, Ohio",39,025,040704
6123,"Census Tract 408, Clermont County, Ohio",39,025,040800
5948,"Census Tract 409, Clermont County, Ohio",39,025,040900
4783,"Census Tract 410.01, Clermont County, Ohio",39,025,041001
2881,"Census Tract 410.02, Clermont County, Ohio",39,025,041002
3039,"Census Tract 411.01, Clermont County, Ohio",39,025,041101
5292,"Census Tract 411.02, Clermont County, Ohio",39,025,041102
3472,"Census Tract 411.04, Clermont County, Ohio",39,025,041104
4444,"Census Tract 28, Clark County, Ohio",39,023,002800
4767,"Census Tract 411.05, Clermont County, Ohio",39,025,041105
4187,"Census Tract 412.01, Clermont County, Ohio",39,025,041201
4864,"Census Tract 412.02, Clermont County, Ohio",39,025,041202
5036,"Census Tract 413.03, Clermont County, Ohio",39,025,041303
0,"Census Tract 413.04, Clermont County, Ohio",39,025,041304
4806,"Census Tract 413.05, Clermont County, Ohio",39,025,041305
5350,"Census Tract 413.06, Clermont County, Ohio",39,025,041306
4705,"Census Tract 413.07, Clermont County, Ohio",39,025,041307
4306,"Census Tract 414.03, Clermont County, Ohio",39,025,041403
5049,"Census Tract 414.04, Clermont County, Ohio",39,025,041404
3224,"Census Tract 52, Franklin County, Ohio",39,049,005200
2996,"Census Tract 53, Franklin County, Ohio",39,049,005300
1600,"Census Tract 54.10, Franklin County, Ohio",39,049,005410
