STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Concat_cou,Concat_c_1,Concat_c_2,Concat_c_3,Concat_c_4,Concat_c_5,Concat_c_6,Concat_c_7,Concat_c_8,Concat_c_9,Concat_c10,Concat_c11,Concat_c12,Concat_c13,Concat_c14,Concat_c15,Concat_c16,Concat_c17,Concat_c18,Concat_c19,Concat_c20,Concat_c21,Concat_c22,Concat_c23,Concat_c24,Concat_c25,Concat_c26,Concat_c27,TPop_Int,lat,long
"39","035","171204","39035171204","1712.04",Census Tract 1712.04,G5020,S,"1725487","0","+41.4076613","-081.5676344",035_171204,35_171204,,35_171204,Cuyahoga County,"Census Tract 1712.04, Cuyahoga County, Ohio","310","19","137","143","11","1269","0","66","645","263","130","131","34","1203","165","176","176","47","283","269","15","542","39","35","171204","2091",35_171204,"2091",41.407661,-81.567635
"39","165","031904","39165031904","319.04",Census Tract 319.04,G5020,S,"7001812","0","+39.3410955","-084.3311975",165_031904,165_031904,,165_31904,Warren County,"Census Tract 319.04, Warren County, Ohio","243","0","94","89","60","4690","71","167","1136","657","413","1552","694","4452","2246","914","816","474","932","893","612","1732","39","165","31904","6249",165_31904,"6249",39.341095,-84.331198
"39","035","103800","39035103800","1038",Census Tract 1038,G5020,S,"876138","0","+41.4743255","-081.7115220",035_103800,35_103800,,35_103800,Cuyahoga County,"Census Tract 1038, Cuyahoga County, Ohio","177","57","43","66","11","1091","215","120","269","140","43","150","154","756","304","288","209","152","157","139","36","405","39","35","103800","1567",35_103800,"1567",41.474326,-81.711522
"39","035","172102","39035172102","1721.02",Census Tract 1721.02,G5020,S,"1770896","0","+41.5257242","-081.4531350",035_172102,35_172102,,35_172102,Cuyahoga County,"Census Tract 1721.02, Cuyahoga County, Ohio","163","11","52","62","38","2338","47","73","789","570","140","469","250","2218","719","377","360","252","380","362","134","914","39","35","172102","3045",35_172102,"3045",41.525724,-81.453135
"39","049","007397","39049007397","73.97",Census Tract 73.97,G5020,S,"3294959","42344","+39.9887640","-082.8269557",049_007397,49_007397,,49_7397,Franklin County,"Census Tract 73.97, Franklin County, Ohio","171","88","10","73","0","2146","0","60","465","384","175","762","300","2086","1062","1124","1064","604","323","323","193","512","39","49","7397","3416",49_7397,"3416",39.987086,-82.826821
"39","049","006992","39049006992","69.92",Census Tract 69.92,G5020,S,"924140","0","+40.1061497","-082.9729282",049_006992,49_006992,,49_6992,Franklin County,"Census Tract 69.92, Franklin County, Ohio","349","77","69","97","106","2970","150","202","997","715","99","647","160","2618","807","1267","1114","532","489","369","73","1056","39","49","6992","4740",49_6992,"4740",40.106150,-82.972928
"39","049","009397","39049009397","93.97",Census Tract 93.97,G5020,S,"1844928","3263","+39.9516793","-082.8374658",049_009397,49_009397,,49_9397,Franklin County,"Census Tract 93.97, Franklin County, Ohio","381","70","120","171","20","2171","26","73","857","639","99","371","106","2072","477","415","415","119","194","194","56","962","39","49","9397","3088",49_9397,"3088",39.948600,-82.837165
"39","049","009394","39049009394","93.94",Census Tract 93.94,G5020,S,"1625093","0","+39.9593054","-082.8288053",049_009394,49_009394,,49_9394,Franklin County,"Census Tract 93.94, Franklin County, Ohio","72","26","0","46","0","1680","32","58","578","335","200","275","202","1590","477","462","462","177","186","142","19","601","39","49","9394","2040",49_9394,"2040",39.959305,-82.828805
"39","035","104400","39035104400","1044",Census Tract 1044,G5020,S,"1128445","0","+41.4739462","-081.6882362",035_104400,35_104400,,35_104400,Cuyahoga County,"Census Tract 1044, Cuyahoga County, Ohio","0","0","0","0","0","1016","31","154","160","105","78","208","280","831","488","509","480","379","152","136","66","244","39","35","104400","1157",35_104400,"1157",41.473946,-81.688236
"39","035","105300","39035105300","1053",Census Tract 1053,G5020,S,"645695","0","+41.4584562","-081.7167169",035_105300,35_105300,,35_105300,Cuyahoga County,"Census Tract 1053, Cuyahoga County, Ohio","276","99","73","104","0","2341","430","413","790","348","82","165","113","1498","278","431","333","74","581","355","80","833","39","35","105300","3332",35_105300,"3332",41.458456,-81.716717
